Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.0056738844,999.0,0.0,0.0,1.0
20000,1.4189383,-0.12215501,999.0,0.0,0.0,1.0
30000,1.4173073,0.04844827,999.0,0.0,0.0,1.0
40000,1.4170667,0.11570803,999.0,0.0,0.0,1.0
50000,1.4149936,0.12041406,999.0,-0.5555555555555556,-0.5555555555555556,1.0
60000,1.4143631,0.14772776,999.0,0.0,0.0,1.0
70000,1.4127839,0.14691584,999.0,0.114116370677948,0.114116370677948,1.0
80000,1.4119645,0.1359538,999.0,-0.03333333333333333,-0.03333333333333333,1.0
90000,1.4110442,0.0996187,999.0,-0.5555555555555556,-0.5555555555555556,1.0
100000,1.4103049,0.122074604,999.0,-1.75,-1.75,1.0
110000,1.4109621,0.102975845,999.0,-0.4375,-0.4375,1.0
120000,1.411738,0.0753684,999.0,-0.1,-0.1,1.0
130000,1.4117415,0.079167485,999.0,0.0,0.0,1.0
140000,1.411719,0.089845955,999.0,-1.25,-1.25,1.0
150000,1.4113249,0.07884423,999.0,0.0,0.0,1.0
160000,1.4102433,0.06011107,999.0,-0.5333333333333333,-0.5333333333333333,1.0
170000,1.4103173,0.06743094,999.0,-0.1111111111111111,-0.1111111111111111,1.0
180000,1.41067,0.05317702,999.0,-2.0,-2.0,1.0
190000,1.4106759,0.057447392,999.0,0.0,0.0,1.0
200000,1.410715,0.031240543,999.0,-0.3,-0.3,1.0
210000,1.4107149,0.042750526,999.0,-0.4444444444444444,-0.4444444444444444,1.0
220000,1.4106294,0.03417015,999.0,-0.0625,-0.0625,1.0
230000,1.4106247,0.03286938,999.0,0.0,0.0,1.0
240000,1.4088672,0.030051287,999.0,0.0,0.0,1.0
250000,1.408563,0.012949815,999.0,0.0,0.0,1.0
260000,1.4065938,0.04446777,999.0,0.0,0.0,1.0
270000,1.4059774,0.027061438,999.0,0.0,0.0,1.0
280000,1.4059607,0.029291522,999.0,-0.1,-0.1,1.0
290000,1.4059747,0.020654682,999.0,-0.5,-0.5,1.0
300000,1.4060909,0.03145262,999.0,0.0,0.0,1.0
310000,1.4061654,0.024386521,999.0,0.0,0.0,1.0
320000,1.4056338,0.021007026,999.0,0.0,0.0,1.0
330000,1.4050058,0.022537507,999.0,0.0,0.0,1.0
340000,1.4046435,0.028750498,999.0,0.0,0.0,1.0
350000,1.4040834,0.028185586,999.0,0.0,0.0,1.0
360000,1.4039251,0.02289395,999.0,0.0,0.0,1.0
370000,1.4034296,0.019762287,999.0,0.0,0.0,1.0
380000,1.4031901,0.021950452,999.0,0.0,0.0,1.0
390000,1.4019643,0.015118893,999.0,0.0,0.0,1.0
400000,1.4018694,0.010788818,999.0,0.0,0.0,1.0
410000,1.4000702,0.009530282,999.0,0.0,0.0,1.0
420000,1.4000702,0.014106849,999.0,0.0,0.0,1.0
430000,1.3992136,0.010814637,999.0,0.0,0.0,1.0
440000,1.39918,0.015031505,999.0,-0.03333333333333333,-0.03333333333333333,1.0
450000,1.398487,0.009651946,999.0,0.0,0.0,1.0
460000,1.3983752,0.009998498,999.0,0.0,0.0,1.0
470000,1.3975838,0.009629463,999.0,0.0,0.0,1.0
480000,1.3973299,0.01040709,999.0,0.0,0.0,1.0
490000,1.3957485,0.008474636,999.0,0.0,0.0,1.0
500000,1.3949178,0.008932466,999.0,0.0,0.0,1.0
510000,1.3934807,0.008717094,999.0,0.0,0.0,1.0
520000,1.3924814,0.010360445,999.0,0.0,0.0,1.0
530000,1.3923707,0.008206692,999.0,0.0,0.0,1.0
540000,1.3922598,0.0077958493,999.0,0.007419862784445286,0.007419862784445286,1.0
550000,1.3918738,0.008366156,999.0,0.0,0.0,1.0
560000,1.3912079,0.007025097,999.0,-0.13333333333333333,-0.13333333333333333,1.0
570000,1.3914427,0.0016207143,999.0,-0.05555555555555555,-0.05555555555555555,1.0
580000,1.3921794,0.0006713937,999.0,0.0,0.0,1.0
590000,1.3923024,-0.0003500281,999.0,0.0,0.0,1.0
600000,1.3929018,0.0004071355,999.0,-0.1,-0.1,1.0
610000,1.3929619,0.00036432873,999.0,0.0,0.0,1.0
620000,1.3936938,-0.0053947386,999.0,0.0,0.0,1.0
630000,1.3936876,-0.0048778923,999.0,0.0,0.0,1.0
640000,1.3932115,-0.005663694,999.0,0.0,0.0,1.0
650000,1.3932115,-0.006087324,999.0,0.0,0.0,1.0
660000,1.3925626,-0.004813834,999.0,0.0,0.0,1.0
670000,1.3924656,-0.0028534122,999.0,0.0,0.0,1.0
680000,1.3912735,-0.0022067004,999.0,0.0,0.0,1.0
690000,1.3909627,-0.004797463,999.0,0.0,0.0,1.0
700000,1.3903288,-0.001044471,999.0,0.0,0.0,1.0
710000,1.3900031,0.00075123995,999.0,0.0,0.0,1.0
720000,1.3895211,-0.00024652353,999.0,0.0,0.0,1.0
730000,1.3891569,-0.0010721758,999.0,-0.3888888888888889,-0.3888888888888889,1.0
740000,1.3887197,-0.008559225,999.0,0.0,0.0,1.0
750000,1.3882078,-0.010517521,999.0,0.0,0.0,1.0
760000,1.3877332,-0.0034359256,999.0,0.001333333303531011,0.001333333303531011,1.0
770000,1.3868712,-0.0063923732,999.0,-0.16666666666666666,-0.16666666666666666,1.0
780000,1.3868625,-0.005275313,999.0,0.06872431933879852,0.06872431933879852,1.0
790000,1.3868554,-0.0048786756,999.0,0.005754937417805195,0.005754937417805195,1.0
800000,1.3867743,-0.008258289,999.0,0.0,0.0,1.0
810000,1.3862265,-0.0072906166,999.0,0.0,0.0,1.0
820000,1.3861899,-0.0055671185,999.0,0.0,0.0,1.0
830000,1.3857671,-0.0010685318,999.0,0.0,0.0,1.0
840000,1.3857671,-0.001424981,999.0,0.06733333269755046,0.06733333269755046,1.0
